Entity,Code,Year,Annual working hours per worker,Productivity: output per hour worked,GDP growth observations
China,CHN,2015,2405.09,10.865309,7.018
China,CHN,2016,2397.2,11.403435,6.776
China,CHN,2017,2383.04,12.222228,6.891
China,CHN,2018,2369.82,13.1396885,6.759
China,CHN,2019,2357.2,14.174832,6.065
China,CHN,2020,2254.58,15.131998,2.337
China,CHN,2021,2291.62,16.498594,8.556
China,CHN,2022,2339.3,16.89764,3.112
China,CHN,2023,2327.79,17.692911,5.377
Germany,DEU,2015,1401.59,74.099724,1.663
Germany,DEU,2016,1395.83,76.02909,2.217
Germany,DEU,2017,1388.21,78.19524,2.806
Germany,DEU,2018,1380.72,78.59967,1.133
Germany,DEU,2019,1372.04,81.118675,0.973
Germany,DEU,2020,1313.57,82.04048,-4.127
Germany,DEU,2021,1341.88,82.90917,3.913
Germany,DEU,2022,1340.14,82.74721,1.807
Germany,DEU,2023,1335.27,82.501175,-0.872
India,IND,2015,2573.29,6.5521812,7.996
India,IND,2016,2570.46,6.953342,8.256
India,IND,2017,2579.52,7.24559,6.795
India,IND,2018,2593.84,7.784932,6.454
India,IND,2019,2605.39,7.462654,3.871
India,IND,2020,2527.62,7.2434587,-5.778
India,IND,2021,2480.02,8.1161375,9.69
India,IND,2022,2430.39,8.083374,7.609
India,IND,2023,2382.58,8.060808,9.191
Japan,JPN,2015,1752.2,51.098133,1.561
Japan,JPN,2016,1745.5,50.0244,0.754
Japan,JPN,2017,1745.3,49.2588,1.675
Japan,JPN,2018,1724.6,48.393433,0.643
Japan,JPN,2019,1687.8,48.807823,-0.402
Japan,JPN,2020,1646.4,48.21869,-4.169
Japan,JPN,2021,1650.9,48.555424,2.697
Japan,JPN,2022,1652.13,48.202896,0.96
Japan,JPN,2023,1653.9,49.000053,1.245
United Kingdom,GBR,2015,1543.13,63.72775,2.223
United Kingdom,GBR,2016,1541.27,63.4797,1.922
United Kingdom,GBR,2017,1542.26,65.88062,2.657
United Kingdom,GBR,2018,1537.13,64.60273,1.405
United Kingdom,GBR,2019,1544.63,66.17737,1.624
United Kingdom,GBR,2020,1391.63,70.25431,-10.297
United Kingdom,GBR,2021,1489.71,68.41783,8.576
United Kingdom,GBR,2022,1528.88,68.378075,4.839
United Kingdom,GBR,2023,1522.8,68.0298,0.397
United States,USA,2015,1808.72,74.986916,2.946
United States,USA,2016,1802.6,75.29495,1.82
United States,USA,2017,1795.58,76.11291,2.458
United States,USA,2018,1804.19,76.83071,2.967
United States,USA,2019,1796.65,77.74209,2.584
United States,USA,2020,1777.88,81.08247,-2.081
United States,USA,2021,1788.7,82.3028,6.152
United States,USA,2022,1789.59,81.94824,2.524
United States,USA,2023,1788.88,83.531105,2.935
